"author", "url"
ogawa, https://www.aozora.gr.jp/index_pages/person1475.html#sakuhin_list_1
natsume, http://www.aozora.gr.jp/index_pages/person148.html#sakuhin_list_1
akutagawa, http://www.aozora.gr.jp/index_pages/person879.html#sakuhin_list_1
mori, http://www.aozora.gr.jp/index_pages/person129.html#sakuhin_list_1
sakaguchi, http://www.aozora.gr.jp/index_pages/person1095.html#sakuhin_list_1
dazai, https://www.aozora.gr.jp/index_pages/person35.html#sakuhin_list_1
unno, https://www.aozora.gr.jp/index_pages/person160.html#sakuhin_list_1
edogawa, https://www.aozora.gr.jp/index_pages/person1779.html#sakuhin_list_1
okamoto, https://www.aozora.gr.jp/index_pages/person82.html#sakuhin_list_1
kitaoji, https://www.aozora.gr.jp/index_pages/person1403.html#sakuhin_list_1
kusuyama, https://www.aozora.gr.jp/index_pages/person329.html#sakuhin_list_1
kozakai, https://www.aozora.gr.jp/index_pages/person262.html#sakuhin_list_1
sasaki_mitsu, https://www.aozora.gr.jp/index_pages/person111.html#sakuhin_list_1
takamura_koun, https://www.aozora.gr.jp/index_pages/person270.html#sakuhin_list_1
nakazato, https://www.aozora.gr.jp/index_pages/person283.html#sakuhin_list_1
nakaya, https://www.aozora.gr.jp/index_pages/person1569.html#sakuhin_list_1
houzyou, https://www.aozora.gr.jp/index_pages/person997.html#sakuhin_list_1
yumeno, https://www.aozora.gr.jp/index_pages/person96.html#sakuhin_list_1
